id,a,b,c,d,e,f,g,h,sex,age,region,l,job_title,education,marriage,children,property,r,employment_status,t,u,v,w,x
44321,0.18405,0.092025,48.42,920.28,0.92028,0.46014,5,0.0,Man,40.91666666666666,e,36,NE employee,Secondary education (plus special education),Married,0 Zero,otherwise,Yes,Works,Yes,Yes,No,No,Yes
12862,0.0444333333333333,0.0444333333333333,66.67,266.53,0.4442166666666666,0.4442166666666666,10,0.0,Man,27.08333333333333,g,60,NE employee,Secondary education (plus special education),Single/unmarried,0 Zero,property,No,No couple,No,Yes,No,No,Yes
44045,0.4971333333333332,0.1657111111111111,39.27,745.73,2.4857666666666667,0.8285888888888889,5,0.0,Woman,58.91666666666666,e,24,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Works,Yes,Yes,No,No,Yes
20071,0.1682444444444444,0.1682444444444444,39.87,757.13,0.8412555555555555,0.8412555555555555,5,0.0,Man,41.5,b,174,NE employee,Secondary education (plus special education),Married,1 One,property,Yes,Unemployed,Yes,Yes,Yes,Yes,No
8181,0.0605125,0.0605125,55.52,499.98,0.6249750000000001,0.6249750000000001,13,1.99,Man,23.83333333333333,e,3,NE employee,Higher education (one or more),Single/unmarried,0 Zero,property,No,No couple,Yes,Yes,No,No,No
30940,0.2633875,0.1755916666666666,263.42,1053.58,1.316975,0.8779833333333332,5,0.0,Man,30.5,e,60,NE employee,Higher education (one or more),Married,1 One,otherwise,No,Works,No,Yes,No,No,No
53416,0.1799285714285714,0.1799285714285714,157.42,629.78,0.8996857142857142,0.8996857142857142,5,0.0,Woman,25.416666666666668,e,24,NE employee,Secondary education (plus special education),Single/unmarried,0 Zero,property,No,No couple,No,Yes,No,No,No
23705,0.1887857142857143,0.1016538461538461,69.57,1321.43,1.887757142857143,1.0164846153846154,10,0.0,Woman,54.16666666666666,b,80,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Works,Yes,Yes,No,Yes,Yes
81650,0.154090909090909,0.154090909090909,44.62,847.43,1.540781818181818,1.540781818181818,10,0.0,Man,28.166666666666668,f,60,NE employee,Secondary education (plus special education),Married,1 One,otherwise,No,Unemployed,Yes,No,No,Yes,Yes
8145,0.14995,0.1090545454545454,79.99,240.01,0.3000125,0.218190909090909,2,0.0,Man,44.66666666666666,f,300,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,No,No,No
8101,0.1354038461538461,0.0577131147540983,80.78,727.22,1.3985,0.5960819672131148,13,1.99,Woman,33.25,b,54,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,No,Yes,No
2063,0.14658,0.09772,0.0,719.8,1.4396,0.9597333333333332,13,2.49,Man,36.16666666666666,d,36,NE employee,Secondary education (plus special education),Married,3 Three,property,No,Works,Yes,Yes,No,No,No
74887,0.111625,0.043560975609756,0.0,369.0,1.153125,0.45,13,1.99,Woman,45.083333333333336,f,164,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Works,Yes,Yes,No,Yes,Yes
9995,0.0788535142658315,0.0788535142658315,68.02,271.98,0.3943110647181628,0.3943110647181628,5,0.0,Woman,21.5,b,13,NE employee,Incomplete higher education,Single/unmarried,0 Zero,otherwise,No,No couple,Yes,Yes,No,No,No
33698,0.0435249999999999,0.03482,8.24,156.76,0.1306333333333333,0.1045066666666666,3,0.0,Man,36.16666666666666,d,142,Head/Deputy head (division),Higher education (one or more),Married,2 Two,otherwise,No,Works,Yes,Yes,Yes,Yes,No
14903,0.0397874999999999,0.015915,39.82,159.18,0.198975,0.07959,5,0.0,Woman,38.583333333333336,e,151,Head/Deputy head (division),Higher education (one or more),Married,1 One,property,Yes,Works,No,Yes,No,Yes,No
72420,0.2216222222222222,0.104978947368421,99.74,299.26,0.6650222222222222,0.3150105263157894,3,0.0,Woman,51.25,d,18,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,No,Yes,No
43058,0.4152285714285714,0.4152285714285714,22.94,436.06,1.2458857142857145,1.2458857142857145,3,0.0,Woman,50.5,c,12,NE employee,Secondary education (plus special education),Single/unmarried,0 Zero,property,No,No couple,Yes,Yes,No,No,Yes
57032,0.0782833333333333,0.0427,53.84,485.16,0.8086000000000001,0.4410545454545455,13,1.99,Man,37.75,g,5,NE employee,Higher education (one or more),Married,2 Two,property,No,Works,No,Yes,No,No,Yes
43797,0.2714142857142857,0.1999894736842105,237.51,949.98,1.3571142857142855,0.9999789473684212,5,0.0,Man,41.5,f,6,NE employee,Secondary education (plus special education),Married,2 Two,property,No,Works,Yes,Yes,No,No,Yes
77603,0.094925,0.0602698412698412,10.02,189.88,0.4747,0.3013968253968254,5,0.0,Woman,31.58333333333333,d,84,NE employee,Secondary education (plus special education),Married,1 One,property,No,Works,Yes,Yes,Yes,No,No
7801,0.1785714285714285,0.1275510204081632,112.46,1012.54,1.4464857142857142,1.033204081632653,9,1.235,Man,50.91666666666666,e,360,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Pensioner,Yes,No,No,No,No
28552,0.1886176470588235,0.113504424778761,67.46,1282.53,1.8860735294117648,1.1349823008849558,10,0.0,Man,61.833333333333336,b,122,NE employee,Secondary education (plus special education),Married,0 Zero,property,No,Works,Yes,No,No,No,No
11063,0.0371285714285714,0.0185642857142857,5.49,104.01,0.1485857142857143,0.0742928571428571,4,0.0,Woman,41.333333333333336,a,39,NE employee,Higher education (one or more),Married,2 Two,property,No,Works,Yes,Yes,No,Yes,No
23880,0.02375,0.0111764705882352,10.85,98.15,0.245375,0.1154705882352941,13,1.99,Woman,24.166666666666668,f,38,NE employee,Secondary education (plus special education),Married,0 Zero,otherwise,No,Works,No,Yes,No,Yes,No
20334,0.34188,0.34188,27.01,512.89,1.02578,1.02578,3,0.0,Woman,60.5,b,58,Pensioner,Secondary education (plus special education),Single/unmarried,0 Zero,property,No,No couple,Yes,Yes,No,Yes,Yes
38970,0.0521666666666666,0.0377108433734939,101.62,406.38,0.6773,0.4896144578313253,13,0.01,Man,47.333333333333336,a,252,Head/Deputy head (division),Secondary education (plus special education),Married,2 Two,property,No,Works,Yes,Yes,No,Yes,Yes
12187,0.0124977777777777,0.0117166666666666,93.76,281.23,0.0624955555555555,0.0585895833333333,5,0.0,Man,38.0,e,36,Enterpreneur,Secondary education (plus special education),Married,2 Two,property,Yes,Works,Yes,No,No,No,No
88740,0.039625,0.0132083333333333,54.64,163.67,0.4091749999999999,0.1363916666666666,13,1.99,Woman,36.833333333333336,d,17,NE employee,Secondary education (plus special education),Married,2 Two,property,No,Works,Yes,Yes,No,Yes,No
80088,0.1067066666666666,0.0970060606060606,84.27,1600.63,0.5335433333333334,0.485039393939394,5,0.0,Man,29.33333333333333,e,36,NE employee,Higher education (one or more),Married,0 Zero,property,Yes,Works,No,Yes,No,Yes,Yes
37161,0.124775,0.124775,149.74,449.26,0.3743833333333333,0.3743833333333333,3,0.0,Man,27.58333333333333,f,12,NE employee,Secondary education (plus special education),Married,2 Two,property,No,Unemployed,Yes,Yes,No,Yes,No
